OID,OBJECTID,CID,cum_currma,normalized,flow_poten
0,1,5,28.65410042,0.844660997,33.92380142
1,2,5,15.27099991,0.819544971,18.63349915
2,3,5,19.84490013,0.699487984,28.37050056
3,4,5,7.126319885,0.810402989,8.793549538
4,5,5,9.871109962,0.749903023,13.16320038
5,6,5,18.54669952,0.704379976,26.33049965
6,7,5,15.89690018,0.785615027,20.23500061
7,8,5,15.43519974,0.802016973,19.24550056
8,9,5,26.51009941,0.85719198,30.92670059
9,10,5,27.47520065,0.981943011,27.98040009
10,11,5,24.93149948,0.758431971,32.87250137
11,12,5,5.502739906,0.764252007,7.20017004
12,13,5,13.56890011,0.394041002,34.43519974
13,14,5,10.62730026,0.645781994,16.4564991
14,15,5,40.03649902,1.092949986,36.63159943
15,16,5,28.21039963,0.941204011,29.97270012
16,17,5,22.19669914,0.659435987,33.66009903
17,18,5,28.84000015,1.257650018,22.93160057
18,19,5,23.38430023,0.706327021,33.10689926
19,20,5,10.98569965,0.321925998,34.125
20,21,5,20.81599998,0.767965972,27.10540009
21,22,5,20.5272007,0.681589007,30.11669922
22,23,5,37.84400177,1.040269971,36.37889862
23,24,5,22.72890091,0.647386014,35.10879898
24,25,5,11.19799995,0.870536029,12.86340046
25,26,5,5.58164978,0.543940008,10.26150036
26,27,5,17.67020035,0.657959998,26.85610008
27,28,5,21.51499939,0.687153995,31.31030083
28,29,5,8.114729881,0.871048987,9.316040039
29,30,5,5.517859936,0.812259972,6.79321003
30,31,5,37.32350159,1.032789946,36.13850021
31,32,5,24.41519928,0.688552976,35.45869827
32,33,5,131.3609924,3.919680119,33.51319885
33,34,5,8.232580185,0.756569028,10.88150024
